Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13844451,WGS,300,6513351300,PRJNA705895,SAMN18106029,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1990316134,SINAI HOSPITAL OF BALTIMORE,2016-11-14,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",human stool,not applicable,not applicable,SRX10222762,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.G.4.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:20:00Z,1,SH-S-22,SRP309077
SRR13844452,WGS,300,7423631700,PRJNA705895,SAMN18106028,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2236509975,SINAI HOSPITAL OF BALTIMORE,2016-07-06,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",human stool,not applicable,not applicable,SRX10222761,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.G,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:20:00Z,1,SH-S-21,SRP309077
SRR13844453,WGS,300,6742642800,PRJNA705895,SAMN18106010,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2048393715,SINAI HOSPITAL OF BALTIMORE,2012-01-17,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",human stool,not applicable,not applicable,SRX10222760,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,Donor.A,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:21:00Z,1,SH-S-03,SRP309077
SRR13844454,WGS,300,6845241300,PRJNA705895,SAMN18106027,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2072271622,SINAI HOSPITAL OF BALTIMORE,2015-10-27,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",human stool,not applicable,not applicable,SRX10222759,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,Donor.F,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:20:00Z,1,SH-S-20,SRP309077
SRR13844455,WGS,300,8132980200,PRJNA705895,SAMN18106026,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2444467740,SINAI HOSPITAL OF BALTIMORE,2016-03-07,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",human stool,not applicable,not applicable,SRX10222758,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.F.5.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:21:00Z,1,SH-S-19,SRP309077
SRR13844456,WGS,300,6900934800,PRJNA705895,SAMN18106025,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2122089124,SINAI HOSPITAL OF BALTIMORE,2015-10-26,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",human stool,not applicable,not applicable,SRX10222757,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.F,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:18:00Z,1,SH-S-18,SRP309077
SRR13844457,WGS,300,7028047800,PRJNA705895,SAMN18106024,"MIGS/MIMS/MIMARKS.human-gut,MIMS.me",2126436541,SINAI HOSPITAL OF BALTIMORE,2015-08-20,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222756,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,Donor.E,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:31:00Z,1,SH-S-17,SRP309077
SRR13844458,WGS,300,7802846700,PRJNA705895,SAMN18106023,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2368660887,SINAI HOSPITAL OF BALTIMORE,2015-11-18,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",human stool,not applicable,not applicable,SRX10222755,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.E.3.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:27:00Z,1,SH-S-16,SRP309077
SRR13844459,WGS,300,6954829800,PRJNA705895,SAMN18106022,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2161227923,SINAI HOSPITAL OF BALTIMORE,2015-08-19,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",human stool,not applicable,not applicable,SRX10222754,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.E,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:27:00Z,1,SH-S-15,SRP309077
SRR13844460,WGS,300,6998513100,PRJNA705895,SAMN18106021,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2197690344,SINAI HOSPITAL OF BALTIMORE,2013-12-10,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",human stool,not applicable,not applicable,SRX10222753,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,Donor.D,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:35:00Z,1,SH-S-14,SRP309077
SRR13844461,WGS,300,7387219500,PRJNA705895,SAMN18106020,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2225186851,SINAI HOSPITAL OF BALTIMORE,2015-12-07,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",human stool,not applicable,not applicable,SRX10222752,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.D.24.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:25:00Z,1,SH-S-13,SRP309077
SRR13844462,WGS,300,7060396800,PRJNA705895,SAMN18106019,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2140789672,SINAI HOSPITAL OF BALTIMORE,2014-01-08,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human stool,not applicable,not applicable,SRX10222751,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.D.1.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:26:00Z,1,SH-S-12,SRP309077
SRR13844463,WGS,300,5698371900,PRJNA705895,SAMN18106018,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1740816754,SINAI HOSPITAL OF BALTIMORE,2014-05-10,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",human stool,not applicable,not applicable,SRX10222750,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.D.5.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:22:00Z,1,SH-S-11,SRP309077
SRR13844464,WGS,300,6089090700,PRJNA705895,SAMN18106009,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1868004072,SINAI HOSPITAL OF BALTIMORE,2012-03-16,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",human stool,not applicable,not applicable,SRX10222749,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PostFMT.A.3.month,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:22:00Z,1,SH-S-02,SRP309077
SRR13844465,WGS,300,7128297900,PRJNA705895,SAMN18106008,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2191189796,SINAI HOSPITAL OF BALTIMORE,2012-01-17,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",human stool,not applicable,not applicable,SRX10222748,USA,North America,"USA: Baltimore\, MD",Homo sapiens,Illumina NovaSeq 6000,stool,39.29 N 76.61 W,PreFMT.A,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2021-05-29T00:00:00Z,2021-03-03T13:27:00Z,1,SH-S-01,SRP309077
